author,commits_total,avg_loc_change,avg_added,avg_deleted,avg_msg_length,avg_commit_hour,std_commit_hour,n_days_active,avg_files_changed
komstramast,9,7.222222222222222,5.555555555555555,1.6666666666666667,12.777777777777779,11.555555555555555,2.2973414586817036,9,1.1111111111111112
a1dfal,8,98.125,77.875,20.25,22.5,15.625,0.5175491695067657,7,3.625
70x7,1,9,9,0,21,17,NA,1,1
